Flop,Hand,Weight IP,Matchups,IP Equity,IP EV,IP EQR,BET 1101 freq,BET 1101 EV,BET 875 freq,BET 875 EV,BET 438 freq,BET 438 EV,CHECK freq,CHECK EV
Tc 8c 5d,KsQc,0.764999986,135579469,30.8485895,458.695709,84.967202055,1.3573035973,457.66098,73.79117966,458.859436,16.146369264,458.123627,8.7051474781,458.527039
Tc 8c 5d,KsKc,1,177721844,76.3356328,1582.27979,118.44532453,1.0713953511,1581.21582,58.624309376,1582.96362,34.897353509,1581.17383,5.4069417634,1582.19641
Tc 8c 5d,KsJd,0.219999999,38867.5625,26.3324678,392.043213,85.075464573,0,391.234863,61.88790639,392.701019,38.11209361,390.974518,0,390.389587
Tc 8c 5d,KsQd,0.764999986,134254172,27.2759795,353.559265,74.070251341,0,352.727142,58.835487546,353.864716,37.823940994,353.084198,3.3405714606,353.55246
Tc 8c 5d,KsKd,1,176534266,73.6497045,1431.27454,111.04880478,3.0507481631,1428.35425,63.882816951,1431.79822,23.613419148,1430.34827,9.4530157377,1430.98145
Tc 8c 5d,KsJh,0.219999999,38867.6094,26.1874467,368.857025,80.487206436,0,365.826233,34.77901072,369.019714,30.143780049,368.302094,35.077209231,369.172241
Tc 8c 5d,KsQh,0.764999986,134254172,27.1311164,329.220184,69.33950548,0.44865711277,328.042419,51.722210231,329.63382,21.198041449,328.655304,26.631091207,328.885681
Tc 8c 5d,KsKh,1,176316688,73.4315097,1425.92419,110.96242283,2.1169698349,1423.5675,65.261945545,1426.41479,27.797658042,1424.9574,4.823426578,1425.87073
Tc 8c 5d,Ks6s,0.119999997,21078.2188,20.4118416,303.254211,84.895877583,0,300.749023,49.898137677,303.771851,49.426687206,302.726532,0.67517511676,303.601379
Tc 8c 5d,Ks8s,0.0500000007,8844.0918,61.001569,881.523621,82.576201184,0,860.110596,0,874.10968,8.9425659845,881.398193,91.057434015,881.535889
Tc 8c 5d,Ks9s,1,173961359,24.1147757,349.336243,82.779418216,0.3606136898,349.018097,53.327630518,350.021118,40.574015903,348.441376,5.7377398888,349.315155
Tc 8c 5d,KsTs,1,175573609,70.5696464,1168.5946,94.625434152,0.28902675399,1168.34607,31.650544799,1169.2605,39.352803402,1168.00964,28.707625045,1168.66321
Tc 8c 5d,KsJs,1,176829734,26.2093723,369.056946,80.463462083,3.5000461384,366.068329,56.690992302,369.751862,26.19091092,368.166168,13.618050639,368.643829
Tc 8c 5d,KsQs,1,175984.5,27.1939576,332.969971,69.967217591,2.1251346797,331.54361,64.987784461,333.331848,24.297828391,332.183868,8.5892524687,332.806213
Tc 8c 5d,AsJc,0.720000029,124581586,38.487336,446.045532,66.22520227,0.97724631664,445.244995,64.65745091,446.326416,20.876395136,445.302826,13.488907637,445.904297
Tc 8c 5d,AsQc,1,171793656,40.6198829,430.279602,60.530469497,1.0100116402,429.514008,58.227951082,430.648956,24.38581239,429.544281,16.376224888,430.106812
Tc 8c 5d,AsKc,1,172636078,41.8173701,455.933777,62.302719237,0.44718116967,455.628082,49.902433428,456.433319,35.526922537,455.23822,14.123462866,455.926147
